"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADSL",1.13713646464646,7.77081573033708,21.8853421526132,1.17583585668171e-72,7.00078709373186e-71,154.826767474683
"SCNM1",1.02986767676768,6.43147415730337,21.8707933074415,1.37141591884177e-72,8.12813280262631e-71,154.673334231759
"H2AZ2",1.05379323232323,7.44872134831461,21.8350426058766,2.00160594163074e-72,1.18094750556214e-70,154.296288256769
"AURKA",1.69143575757576,5.55761123595506,21.7728944784768,3.86242242814102e-72,2.26856423605995e-70,153.640788164517
"ATAD2",1.69847464646465,5.8710202247191,21.7452862403632,5.17236363269459e-72,3.02432508550245e-70,153.349573125625
"MFAP3L",-2.21568393939394,6.67068764044944,-21.7309645739516,6.01843217385406e-72,3.50331862120014e-70,153.198501739767
"PBK",1.59598575757576,4.3698,21.726374777654,6.31785105627809e-72,3.6535840689386e-70,153.150085834973
"NEU1",1.66344656565657,6.66197303370787,21.7261540879669,6.33261752879916e-72,3.6535840689386e-70,153.147757860639
"CBR4",-1.34345646464646,7.31466516853933,-21.7075468497044,7.71024876045616e-72,4.4288076470303e-70,152.951474311124
"FOLH1B",-1.94142414141414,5.07986741573034,-21.7032416198046,8.06952094314671e-72,4.61484577095131e-70,152.906058679965
"MSH2",1.28181585858586,4.47039550561798,21.6998347324215,8.36565558279833e-72,4.76330930760294e-70,152.870119421056
"C8A",-2.53854373737374,9.37973483146067,-21.6626662448593,1.23956037302289e-71,6.99680852980322e-70,152.478018167123
"KIF4A",1.43029242424242,4.31502247191011,21.6158251818744,2.03463981231197e-71,1.14352019451447e-69,151.983851066804
"MDK",2.30521121212121,5.57385168539326,21.6082061559769,2.20544272171218e-71,1.23419603641224e-69,151.90346862868
"PROZ",-2.0676904040404,6.66560674157303,-21.6015832134321,2.36552449916597e-71,1.31812281814637e-69,151.833594499415
"TCIM",-2.25440262626263,7.99465168539326,-21.5734850256094,3.18447735885565e-71,1.76691065030293e-69,151.537143771683
"GNPAT",1.06057555555556,8.79594606741573,21.5707446177405,3.2781628725528e-71,1.81118498708542e-69,151.508230512794
"CYP2C19",-2.28989767676768,5.59478202247191,-21.5573729224136,3.77637366398252e-71,2.07764287783409e-69,151.367148323916
"STMN1",1.24530282828283,5.3456202247191,21.5348819051259,4.7909959864029e-71,2.62478137255073e-69,151.129845320657
